time, light, accx, accy, accz,
0.032, 1.37189, -0.00616789, -0.0549355, 9.95656, 
0.064, 1.37599, 0.0371369, 0.022878, 9.92137, 
0.096, 1.37326, 0.0509328, 0.0390705, 9.81506, 
0.128, 1.38033, 0.0653025, -0.0386791, 9.79922, 
0.16, 1.37944, -0.0448508, -0.000677823, 9.81225, 
0.192, 1.38055, 0.0427925, 0.0701047, 9.8526, 
0.224, 1.37596, 0.0604562, 0.00231688, 9.74518, 
0.256, 1.3737, -0.00667404, 0.0836575, 9.80984, 
0.288, 1.37883, -0.0304679, -0.0798216, 9.86537, 
0.32, 1.37341, -0.0663984, 0.00793191, 9.80196, 
0.352, 1.38068, 0.0282779, -0.000712302, 9.86586, 
0.384, 1.37888, 0.0277466, 0.0470454, 9.79907, 
0.416, 1.37806, -0.00686227, -0.0550521, 9.8148, 
0.448, 1.37596, -0.00345715, -0.00789736, 9.87639, 
0.48, 1.37835, 0.00651049, 0.00294554, 9.85953, 
0.512, 1.37534, -0.0114279, -0.0371, 9.81213, 
0.544, 1.37531, 0.0386708, -0.142834, 9.78527, 
0.576, 1.37898, -0.0207186, 0.0457517, 9.83456, 
0.608, 1.38072, 0.0274824, -0.00686171, 9.77479, 
0.64, 1.37413, 0.0457676, -0.0178753, 9.79313, 
0.672, 1.37966, 0.0597679, 0.0273654, 9.72724, 
0.704, 1.38072, 0.0447338, 0.0828441, 9.84591, 
0.736, 1.37559, -0.0934489, 0.0288246, 9.71237, 
0.768, 1.37875, -0.0521446, -0.00776693, 9.7967, 
0.8, 1.38192, 0.101827, -0.0250031, 9.82552, 
0.832, 1.38271, -0.106372, 0.0785154, 9.79023, 
0.864, 1.37211, 0.0122299, 0.0201861, 9.7365, 
0.896, 1.38025, 0.011266, -0.0414149, 9.73897, 
0.928, 1.37146, -0.0249223, -0.0415167, 9.82271, 
0.96, 1.38089, -0.0134346, -0.000544517, 9.78546, 
0.992, 1.37393, -0.0093675, -0.0112035, 9.78525, 
1.024, 1.374, -0.0789605, 0.0990855, 9.78117, 
1.056, 1.37209, -0.013323, -0.0628338, 9.77226, 
1.088, 1.38286, 0.0405761, -0.00596806, 9.81234, 
