time, sensor_id, sensor_x, sensor_y, temp_in, temp_out,
7.84, 0, 1.79621, -0.115357, 11.2537, 8.85101, 
7.968, 0, 1.79621, -0.115357, 11.2786, 8.48604, 
8.096, 0, 1.79621, -0.115357, 11.2831, 8.41274, 
8.224, 0, 1.79621, -0.115357, 11.1464, 9.31565, 
8.352, 0, 1.79621, -0.115357, 11.4552, 8.30765, 
8.48, 0, 1.79621, -0.115357, 11.2241, 8.23828, 
8.608, 0, 1.79621, -0.115357, 11.2961, 8.70007, 
8.736, 0, 1.79621, -0.115357, 11.4295, 8.61703, 
8.864, 0, 1.79621, -0.115357, 11.4606, 8.44439, 
8.992, 0, 1.79621, -0.115357, 11.5757, 8.68948, 
9.12, 0, 1.79621, -0.115357, 11.4134, 8.58935, 
9.248, 0, 1.79621, -0.115357, 11.5902, 8.90321, 
9.376, 0, 1.79621, -0.115357, 11.7981, 8.85658, 
9.504, 0, 1.79621, -0.115357, 11.65, 8.91195, 
9.632, 0, 1.79621, -0.115357, 11.6694, 8.16191, 
9.76, 0, 1.79621, -0.115357, 11.8409, 9.16881, 
9.888, 0, 1.79621, -0.115357, 11.833, 8.70453, 
10.016, 0, 1.79621, -0.115357, 11.7547, 8.98939, 
10.144, 0, 1.79621, -0.115357, 11.748, 8.37396, 
10.272, 0, 1.79621, -0.115357, 11.9699, 8.0296, 
10.4, 0, 1.79621, -0.115357, 11.9565, 8.35487, 
10.528, 0, 1.79621, -0.115357, 11.7122, 8.65608, 
10.656, 0, 1.79621, -0.115357, 11.8515, 8.45447, 
10.784, 0, 1.79621, -0.115357, 11.9458, 8.50757, 
10.912, 0, 1.79621, -0.115357, 12.0629, 8.99661, 
11.04, 0, 1.79621, -0.115357, 11.8804, 8.43018, 
11.168, 0, 1.79621, -0.115357, 12.0009, 8.79037, 
41.248, 1, 4.62, 1.21, 15.7177, 8.99036, 
41.376, 1, 4.62, 1.21, 15.7156, 8.67835, 
41.504, 1, 4.62, 1.21, 15.5274, 8.54076, 
41.632, 1, 4.62, 1.21, 15.0668, 8.53304, 
41.76, 1, 4.62, 1.21, 15.743, 8.59799, 
41.888, 1, 4.62, 1.21, 15.8181, 8.90826, 
42.016, 1, 4.62, 1.21, 15.7116, 8.49243, 
42.144, 1, 4.62, 1.21, 16.0609, 8.64018, 
42.272, 1, 4.62, 1.21, 15.9723, 8.44964, 
42.4, 1, 4.62, 1.21, 15.843, 8.28532, 
42.528, 1, 4.62, 1.21, 15.8474, 8.42015, 
42.656, 1, 4.62, 1.21, 15.4058, 8.62826, 
42.784, 1, 4.62, 1.21, 15.5602, 8.68306, 
42.912, 1, 4.62, 1.21, 15.4642, 8.89061, 
